INSPECTION_DATE,ZIP_CODE,BOROUGH,count,diff
2017,11355,Queens,24,-1.0
2011,11368,Queens,33,-59.0
2012,11368,Queens,132,99.0
2013,11368,Queens,76,-56.0
2014,11368,Queens,56,-20.0
2015,11368,Queens,64,8.0
2016,11368,Queens,93,29.0
2017,11368,Queens,88,-5.0
2011,11370,Queens,2,0.0
2012,11370,Queens,7,5.0
2013,11370,Queens,1,-6.0
2014,11370,Queens,2,1.0
2015,11370,Queens,1,-1.0
2016,11370,Queens,8,7.0
2017,11370,Queens,19,11.0
2011,11372,Queens,88,-215.0
2012,11372,Queens,37,-51.0
2013,11372,Queens,41,4.0
2014,11372,Queens,103,62.0
2015,11372,Queens,83,-20.0
2016,11372,Queens,216,133.0
2017,11372,Queens,216,0.0
2011,11373,Queens,32,-15.0
2012,11373,Queens,62,30.0
2013,11373,Queens,57,-5.0
2014,11373,Queens,71,14.0
2015,11373,Queens,68,-3.0
2016,11373,Queens,63,-5.0
2017,11373,Queens,57,-6.0
2011,11374,Queens,2,1.0
2012,11374,Queens,8,6.0
2013,11374,Queens,5,-3.0
2014,11374,Queens,19,14.0
2015,11374,Queens,19,0.0
2016,11374,Queens,30,11.0
2017,11374,Queens,40,10.0
2011,11375,Queens,8,-14.0
2012,11375,Queens,2,-6.0
2013,11375,Queens,14,12.0
2014,11375,Queens,26,12.0
2015,11375,Queens,6,-20.0
2016,11375,Queens,12,6.0
2017,11375,Queens,14,2.0
2011,11377,Queens,41,-74.0
2012,11377,Queens,26,-15.0
2013,11377,Queens,40,14.0
2014,11377,Queens,71,31.0
2015,11377,Queens,58,-13.0
2016,11377,Queens,136,78.0
2017,11377,Queens,122,-14.0
2011,11378,Queens,17,12.0
2012,11378,Queens,12,-5.0
2013,11378,Queens,14,2.0
2014,11378,Queens,7,-7.0
2015,11378,Queens,10,3.0
2016,11378,Queens,20,10.0
2017,11378,Queens,25,5.0
2011,11379,Queens,9,0.0
2012,11379,Queens,7,-2.0
2013,11379,Queens,6,-1.0
2014,11379,Queens,10,4.0
2015,11379,Queens,4,-6.0
2016,11379,Queens,4,0.0
2017,11379,Queens,15,11.0
2011,11385,Queens,208,63.0
2012,11385,Queens,204,-4.0
2013,11385,Queens,396,192.0
2014,11385,Queens,222,-174.0
2015,11385,Queens,117,-105.0
2016,11385,Queens,416,299.0
2017,11385,Queens,345,-71.0
2011,11415,Queens,3,-4.0
2012,11415,Queens,3,0.0
2013,11415,Queens,2,-1.0
2014,11415,Queens,2,0.0
2015,11415,Queens,1,-1.0
2016,11415,Queens,9,8.0
2017,11415,Queens,6,-3.0
2010,11416,Queens,4,3.0
2011,11416,Queens,2,-2.0
2013,11416,Queens,1,-1.0
2014,11416,Queens,2,1.0
2015,11416,Queens,3,1.0
2016,11416,Queens,2,-1.0
2017,11416,Queens,7,5.0
2011,11417,Queens,5,-5.0
2012,11417,Queens,7,2.0
2013,11417,Queens,4,-3.0
2014,11417,Queens,1,-3.0
2015,11417,Queens,5,4.0
2016,11417,Queens,8,3.0
2017,11417,Queens,14,6.0
2011,11418,Queens,4,2.0
2012,11418,Queens,16,12.0
2013,11418,Queens,7,-9.0
2014,11418,Queens,12,5.0
2015,11418,Queens,10,-2.0
2016,11418,Queens,17,7.0
2017,11418,Queens,35,18.0
2011,11419,Queens,4,-2.0
2012,11419,Queens,4,0.0
2013,11419,Queens,6,2.0
2014,11419,Queens,3,-3.0
2015,11419,Queens,10,7.0
2016,11419,Queens,4,-6.0
2017,11419,Queens,23,19.0
2011,11420,Queens,2,-26.0
2012,11420,Queens,2,0.0
2013,11420,Queens,8,6.0
2014,11420,Queens,3,-5.0
2015,11420,Queens,20,17.0
2016,11420,Queens,9,-11.0
2017,11420,Queens,6,-3.0
2011,11421,Queens,5,-1.0
2012,11421,Queens,3,-2.0
2013,11421,Queens,2,-1.0
2014,11421,Queens,10,8.0
2015,11421,Queens,5,-5.0
2016,11421,Queens,10,5.0
2017,11421,Queens,3,-7.0
2011,11429,Queens,1,0.0
2012,11429,Queens,3,2.0
2013,11429,Queens,1,-2.0
2014,11429,Queens,6,5.0
2015,11429,Queens,12,6.0
2016,11429,Queens,2,-10.0
2017,11429,Queens,3,1.0
2011,11432,Queens,57,-106.0
2012,11432,Queens,66,9.0
2013,11432,Queens,76,10.0
2014,11432,Queens,57,-19.0
2015,11432,Queens,46,-11.0
2016,11432,Queens,22,-24.0
2017,11432,Queens,51,29.0
2011,11433,Queens,26,-14.0
2012,11433,Queens,24,-2.0
2013,11433,Queens,53,29.0
2014,11433,Queens,21,-32.0
2015,11433,Queens,18,-3.0
2016,11433,Queens,16,-2.0
2017,11433,Queens,37,21.0
2011,11434,Queens,7,-1.0
2012,11434,Queens,7,0.0
2013,11434,Queens,7,0.0
2014,11434,Queens,8,1.0
2015,11434,Queens,6,-2.0
2016,11434,Queens,3,-3.0
2017,11434,Queens,2,-1.0
2011,11435,Queens,23,-176.0
2012,11435,Queens,43,20.0
2013,11435,Queens,53,10.0
2014,11435,Queens,31,-22.0
2015,11435,Queens,20,-11.0
2016,11435,Queens,36,16.0
2017,11435,Queens,85,49.0
