INSPECTION_DATE,BOROUGH,count
2013-08-31,Manhattan,235
2013-08-31,Queens,100
2013-08-31,Staten Island,6
2013-09-30,Bronx,600
2013-09-30,Brooklyn,244
2013-09-30,Manhattan,310
2013-09-30,Queens,50
2013-09-30,Staten Island,14
2013-10-31,Bronx,720
2013-10-31,Brooklyn,401
2013-10-31,Manhattan,369
2013-10-31,Queens,75
2013-10-31,Staten Island,16
2013-11-30,Bronx,338
2013-11-30,Brooklyn,156
2013-11-30,Manhattan,609
2013-11-30,Queens,58
2013-11-30,Staten Island,18
2013-12-31,Bronx,328
2013-12-31,Brooklyn,77
2013-12-31,Manhattan,262
2013-12-31,Queens,91
2013-12-31,Staten Island,3
2014-01-31,Bronx,295
2014-01-31,Brooklyn,71
2014-01-31,Manhattan,154
2014-01-31,Queens,88
2014-01-31,Staten Island,5
2014-02-28,Bronx,255
2014-02-28,Brooklyn,57
2014-02-28,Manhattan,166
2014-02-28,Queens,50
2014-02-28,Staten Island,2
2014-03-31,Bronx,787
2014-03-31,Brooklyn,489
2014-03-31,Manhattan,325
2014-03-31,Queens,134
2014-03-31,Staten Island,20
2014-04-30,Bronx,799
2014-04-30,Brooklyn,550
2014-04-30,Manhattan,491
2014-04-30,Queens,89
2014-04-30,Staten Island,28
2014-05-31,Bronx,697
2014-05-31,Brooklyn,441
2014-05-31,Manhattan,367
2014-05-31,Queens,57
2014-05-31,Staten Island,50
2014-06-30,Bronx,449
2014-06-30,Brooklyn,399
2014-06-30,Manhattan,761
2014-06-30,Queens,73
2014-06-30,Staten Island,22
2014-07-31,Bronx,785
2014-07-31,Brooklyn,411
2014-07-31,Manhattan,491
2014-07-31,Queens,59
2014-07-31,Staten Island,37
2014-08-31,Bronx,748
2014-08-31,Brooklyn,385
2014-08-31,Manhattan,366
2014-08-31,Queens,54
2014-08-31,Staten Island,20
2014-09-30,Bronx,683
2014-09-30,Brooklyn,327
2014-09-30,Manhattan,283
2014-09-30,Queens,114
2014-09-30,Staten Island,25
2014-10-31,Bronx,472
2014-10-31,Brooklyn,384
2014-10-31,Manhattan,319
2014-10-31,Queens,86
2014-10-31,Staten Island,10
2014-11-30,Bronx,303
2014-11-30,Brooklyn,251
2014-11-30,Manhattan,277
2014-11-30,Queens,85
2014-11-30,Staten Island,10
2014-12-31,Bronx,299
2014-12-31,Brooklyn,234
2014-12-31,Manhattan,528
2014-12-31,Queens,68
2014-12-31,Staten Island,10
2015-01-31,Bronx,401
2015-01-31,Brooklyn,191
2015-01-31,Manhattan,226
2015-01-31,Queens,27
2015-01-31,Staten Island,5
2015-02-28,Bronx,253
2015-02-28,Brooklyn,79
2015-02-28,Manhattan,177
2015-02-28,Queens,22
2015-02-28,Staten Island,2
2015-03-31,Bronx,662
2015-03-31,Brooklyn,324
2015-03-31,Manhattan,493
2015-03-31,Queens,47
2015-03-31,Staten Island,13
2015-04-30,Bronx,771
2015-04-30,Brooklyn,312
2015-04-30,Manhattan,603
2015-04-30,Queens,57
2015-04-30,Staten Island,31
2015-05-31,Bronx,736
2015-05-31,Brooklyn,407
2015-05-31,Manhattan,382
2015-05-31,Queens,90
2015-05-31,Staten Island,13
2015-06-30,Bronx,674
2015-06-30,Brooklyn,377
2015-06-30,Manhattan,380
2015-06-30,Queens,101
2015-06-30,Staten Island,22
2015-07-31,Bronx,864
2015-07-31,Brooklyn,465
2015-07-31,Manhattan,432
2015-07-31,Queens,88
2015-07-31,Staten Island,19
2015-08-31,Bronx,751
2015-08-31,Brooklyn,377
2015-08-31,Manhattan,303
2015-08-31,Queens,47
2015-08-31,Staten Island,17
2015-09-30,Bronx,674
2015-09-30,Brooklyn,349
2015-09-30,Manhattan,397
2015-09-30,Queens,70
2015-09-30,Staten Island,8
2015-10-31,Bronx,731
2015-10-31,Brooklyn,458
2015-10-31,Manhattan,536
2015-10-31,Queens,75
2015-10-31,Staten Island,8
2015-11-30,Bronx,510
2015-11-30,Brooklyn,335
2015-11-30,Manhattan,358
2015-11-30,Queens,76
2015-11-30,Staten Island,4
2015-12-31,Bronx,451
2015-12-31,Brooklyn,461
2015-12-31,Manhattan,605
2015-12-31,Queens,81
2015-12-31,Staten Island,6
2016-01-31,Bronx,531
2016-01-31,Brooklyn,444
2016-01-31,Manhattan,745
2016-01-31,Queens,52
2016-01-31,Staten Island,9
2016-02-29,Bronx,674
2016-02-29,Brooklyn,603
